rule,ruleName,type
parliament\.uk/business/committees/committees-a-z/other-committees/speakers-committee-for-the-independent-parliamentary-standards-authority,Speaker's Committee for the Independent Parliamentary Standards Authority,NA
parliament\.uk/documents/commons-committees/SpeakersIPSA,Speaker's Committee for the Independent Parliamentary Standards Authority (IPSA),NA
parliament\.uk/business/committees/committees-a-z/other-committees/speakers-conference-on-parliamentary-representation,Speaker's Conference on Parliamentary Representation,NA
parliament\.uk/mps-lords-and-offices/offices/commons/speakers-office,Speaker's Office,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/speakership-of-the-house,Speakership of the House,NA
parliament\.uk/business/committees/committees-a-z/lords-select/insurance-bill,Special Public Bill Committee on the Insurance Bill [HL],NA
parliament\.uk/documents/lords-committees/Intellectual%20Property,Special Public Bill Committee on the Intellectual Property (Unjustified Threats) Bill,NA
publications\.parliament\.uk/.+/ldhandbk,Staff Handbook,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/standards,"Standards (2003-2005), Standards and Public Appointments (2005-2007)",NA
(?<filter>parliament\.uk/mps-lords-and-offices/standards-and-financial-interests),standards and financial interests,NA
publications\.parliament\.uk/.+/cmstnprv,Standards and Privileges Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/standards-and-privileges-committee,Standards and Privileges Committee,NA
archive\.scottish\.parliament\.uk/s3/committees/standards,Standards and Public Appointments,NA
publications\.parliament\.uk/.+/cmstandards,Standards Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/standards,Standards Committee,NA
parliament\.uk/documents/commons-committees/standards-and-privileges,Standards Committee,NA
publications\.parliament\.uk/.+/ldcond,Standards of Conduct in the House of Lords (working group),NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/standards-of-conduct-in-the-house-of-lords-working-group,Standards of Conduct in the House of Lords (working group),NA
parliament\.uk/business/committees/committees-a-z/commons-select/standards/standards-review-sub-committee,Standards Review Sub-Committee,NA
parliament\.uk/documents/commons-committees/Standards-Committee,Standards Review Sub-Committee,NA
archive\.scottish\.parliament\.uk/s3/committees/stanproc,"Standards, Procedures and Public Appointments",NA
publications\.parliament\.uk/.+/cmstand\/,Standing Committee Debates,NA
parliament\.uk/business/committees/committees-a-z/commons-select/standing-orders,Standing Orders (Private Bills) Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/standing-orders,Standing Orders (Private Bills) Committee,NA
parliament\.uk/documents/commons-committees/standing-orders,Standing Orders Committee,NA
archive\.scottish\.parliament\.uk/corporate/AnualReports/Stats_AnnualReports,Statistics,NA
parliament\.uk/business/committees/committees-a-z/commons-select/statutory-instruments-committee,Statutory Instruments Committee,NA
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2})&sectionId=51,{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmsilist,Statutory Instruments list,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/stem-cell-research-committee,Stem Cell Research Committee,NA
archive\.scottish\.parliament\.uk/business/committees/sak-rail-bill,Stirling-Alloa-Kincardine Railway and Linked Improvements Bill Committee,NA
archive\.scottish\.parliament\.uk/corporate/AnualReports/Strat_AnnualReports,Strategic,NA
publications\.parliament\.uk/.+/cmese,"Sub-Committee on Education, Skills and the Economy",NA
publications\.parliament\.uk/.+/cmeduski,"Sub-Committee on Education, Skills and the Economy",NA
parliament\.uk/business/committees/committees-a-z/commons-select/education-skills-and-economy,"Sub-Committee on Education, Skills and the Economy",NA
parliament\.uk/business/committees/committees-a-z/commons-select/international-development-committee/sub-committee-on-the-work-of-the-independent-commission-for-aid-impact1/,Sub-Committee on the Work of the Independent Commission for Aid Impact,NA
parliament\.uk/get-involved/committees,Submit evidence to a committee inquiry,NA
archive\.scottish\.parliament\.uk/s3/committees/subleg,Subordinate Legislation,NA
archive\.scottish\.parliament\.uk/business/committees(\/.+)?/subleg,Subordinate Legislation,NA
subscriptions\.parliament\.uk,subscribe to email updates,NA
publications\.parliament\.uk/.+/cmagenda/sa(\d{2})(\d{2})(\d{2})\.,{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmagenda/sa(\d{1})(\d{2})(\d{2})\.,{3}-{2}-0{1},Date
parliament\.uk/documents/commons-expenditure/supply-estimates,Supply estimates,NA
(?<filter>parliament\.uk/about/sustainability),sustainability,NA
parliament\.uk/about/how/elections-and-voting/swearing-in,Swearing in,NA
parliament\.uk/business/committees/committees-a-z/joint-select/tax-law-rewrite-bills,Tax Law Rewrite Bills,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/tax-simplification,Tax Simplification,NA
parliament\.uk/education/teaching-resources-lesson-plans,Teaching resources - lesson plans,NA
parliament\.uk/mps-lords-and-offices/offices/commons/teams,Teams,NA
parliament\.uk/mps-lords-and-offices/offices/commons/the-board,The Board,NA
parliament\.uk/about/living-heritage/evolutionofparliament/parliamentaryauthority,The development of parliamentary authority,NA
parliament\.uk/about/living-heritage/building/palace,The Place of Westminster,NA
parliament\.uk/business/commons/the-speaker,The Speaker,NA
parliament\.uk/about/podcasts/theworkofparliament,The Work of Parliament,NA
"parliament\.uk/business/news/.+/.+/this-week-in-the-commons-(\d{1,2})-(\w+)-(\d{4})","{1} {2}, {3}",Date
"parliament\.uk/business/news/.+/.+/this-week-in-the-commons-(\d{1,2})-(\d{1,2})-(\w+)-(\d{4})","{1}-{2} {3}, {4}",Date
"parliament\.uk/business/news/.+/.+/this-week-in-the-commons-(\d{1,2})---(\d{1,2})-(\w+)-(\d{4})","{1}-{2} {3}, {4}",Date
parliament\.uk/business/committees/.+/timeline,Timeline,NA
(?<filter>parliament\.uk/topics),topics,NA
parliament\.uk/visiting/visiting-and-tours/tours-of-parliament,Tours,NA
publications\.parliament\.uk/.+/cmtrdind,Trade and Industry Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/trade-and-industry-committee-,Trade and Industry Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/trade-union-party-funding,Trade Union and Party Funding Committee,NA
parliament\.uk/site-information/foi/transparency-publications,Transparency publications,NA
archive\.scottish\.parliament\.uk/business/committees/historic/x-transport,Transport and the Environment,NA
publications\.parliament\.uk/.+/cmtrans,Transport Committee,NA
publications\.parliament\.uk/.+/cmtran/,Transport Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/transport-committee,Transport Committee,NA
parliament\.uk/documents/commons-committees/transport,Transport Committee,NA
archive\.scottish\.parliament\.uk/s3/committees/ticc,"Transport, Infrastructure and Climate Change",NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/trade-and-industry-committee-1,"Transport, Local Government and the Regions Committee",NA
publications\.parliament\.uk/.+/cmtreasy,Treasury Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/treasury-committee,Treasury Committee,NA
parliament\.uk/documents/commons-committees/treasury,Treasury Committee,NA
parliament\.uk/mps-lords-and-offices/offices/bicameral/npo,"UK National Parliament Office, Brussels",NA
publications\.parliament\.uk/.+/lduncorr,Uncorrected evidence,NA
archive\.scottish\.parliament\.uk/s3/committees/ureElderBill,Ure Elder Fund Transfer and Dissolution Bill,NA
parliament\.uk/visiting/venue-hire,Venue hire,NA
parliament\.uk/about/podcasts/video-tours,Video tours,NA
parliament\.uk/about/podcasts/videos-for-schools,Videos for Schools,NA
parliament\.uk/visiting/virtualtour,Virtual tour,NA
(?<filter>parliament\.uk/visiting),visiting,NA
parliament\.uk/business/publications/parliamentary-archives/visiting-and-services,Visiting and services,NA
publications\.parliament\.uk/.+/ldindex,Volume Index to Lords Debates,NA
parliament\.uk/get-involved/vote-100,Vote 100 anniversaries programme,NA
parliament\.uk/get-involved/elections,Vote in general elections and referendums,NA
publications\.parliament\.uk/.+/cmvote/(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmvote/vp(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
publications\.parliament\.uk/.+/cmvote/(\d{1})(\d{2})(\d{2})v,{3}-{2}-0{1},Date
parliament\.uk/about/how/elections-and-voting/voting-systems,Voting systems,NA
parliament\.uk/visiting/visiting-and-tours/watch-committees-and-debates,Watch debates and committees,NA
parliament\.uk/get-involved/watch-parliament-work,Watch Parliament at work,NA
archive\.scottish\.parliament\.uk/business/committees/waverlyRB/,Waverley Railway (Scotland) Bill,NA
webarchive\.parliament\.uk,web archive,NA
parliament\.uk/site-information/accessibility,Website accessibility,NA
publications\.parliament\.uk/.+/cmwib,Weekly Information Bulletin,NA
publications\.parliament\.uk/.+/cmwelaf,Welsh Affairs Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/welsh-affairs-committee,Welsh Affairs Committee,NA
parliament\.uk/documents/commons-committees/welsh-affairs,Welsh Affairs Committee,NA
publications\.parliament\.uk/.+/cmgeneral/welshg,Welsh Grand Committee,NA
parliament\.uk/business/publications/hansard/commons/gc-debates/welsh-grand-committees,Welsh Grand Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/west-midlands-committee,West Midlands Committee,NA
publications\.parliament\.uk/.+/cmwestmid,West Midlands Regional Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/select-committee-on-the-west-northamptonshire-development-corporation-area-and-constitution-order-2004,West Northamptonshire Development Corporation (Area and Constitution) Order 2004,NA
parliament\.uk/business/lords/whos-in-the-house-of-lords,Who's in the House of Lords,NA
archive\.scottish\.parliament\.uk/s3/committees/willSimpsonBill,William Simpson's Home (Transfer of Property Etc.) (Scotland) Bill,NA
publications\.parliament\.uk/.+/cmwomeq,Women and Equalities Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/women-and-equalities-committee,Women and Equalities Committee,NA
parliament\.uk/documents/commons-committees/women-and-equalities,Women and Equalities Committee,NA
\.docx?$,Word,NA
publications\.parliament\.uk/.+/cmworpen,Work and Pensions Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/work-and-pensions-committee,Work and Pensions Committee,NA
parliament\.uk/documents/commons-committees/work-and-pensions,Work and Pensions Committee,NA
parliament\.uk/business/commons/what-the-commons-does,Work of the House of Commons,NA
parliament\.uk/business/lords/work-of-the-house-of-lords,Work of the House of Lords,NA
(?<filter>parliament\.uk/documents/jobs),jobs,NA
(?<filter>parliament\.uk/about/working),jobs,NA
parliament\.uk/site-information/job-opportunities,jobs,NA
parliament\.uk/business/commons/about-the-house-of-commons,Working at the House of Commons,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/working-practices-of-the-house-group,Working practices of the House (group),NA
parliament\.uk/business/committees/committees-a-z/other-committees/lords-works-of-art,Works of Art Advisory Panel (Lords),NA
secondreading\.parliament\.uk.*/world-affairs,World Affairs,NA
data\.parliament\.uk/writtenevidence,Written evidence,NA
parliament\.uk/business/publications/written-questions-answers-statements/written-question/Commons/.+/([0-9]+)\/?,Written QNA Id: {1},NA
parliament\.uk/business/publications/written-questions-answers-statements/written-question/Lords/.+/HL([0-9]+)\/?,Written QNA Id: {1},NA
parliament\.uk/business/publications/written-questions-answers-statements/written-question/(\w+)/(.+)/.+,{1} on {2},Date
parliament\.uk/business/publications/written-questions-answers-statements/written-questions-answers,Written Questions and Answers,NA
parliament\.uk/business/publications/written-questions-answers-statements/written-statement/(\w+)/(.+)/.+,{1} on {2},Date
parliament\.uk/business/publications/written-questions-answers-statements/written-statements,Written Statements,NA
(?<filter>qna\.files\.parliament\.uk/ws-attachments),Written Statements attachment,NA
parliament\.uk/get-involved/welsh,Y Gornel Gymraeg,NA
(?<filter>pds\.blog\.parliament\.uk/(\d{4})),{1},Date
(?<filter>archives\.blog\.parliament\.uk/(\d{4})),{1},Date
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/yorkshire-and-the-humber,Yorkshire and The Humber,NA
parliament\.uk/afternoon-tea,afternoon tea,NA
parliament\.uk/bigben,Big Ben,NA
parliament\.uk/writtenstatements,written statements,NA
parliament\.uk/treascom,Treasury Committee,NA
publications\\.parliament\\.uk.*?cm(\\d{4})(\\d{2}),Session: {1}-{2},NA
(?<filter>archives\.blog\.parliament\.uk/(\d{4}/\d{2})/\d{2}),{1},Date
(?<filter>pds\.blog\.parliament\.uk/(\d{4}/\d{2})/\d{2}),{1},Date
lordsbusiness\.parliament\.uk/\?businessPaperDate=(\d{4})-(\d{2})-(\d{2}),{3}-{2}-{1},Date
"parliament\.uk/business/news/.+/.+/this-week-in-the-commons-(\d{1,2})-{1,3}(\d{1,2})-(\w+)-(\d{4})","{1}-{2} {3}, {4}",Date
parliament\.uk/business/publications/written-questions-answers-statements/written-(question|statement)/(\w+)/(.+)/.+,{2} on {3},Date
parliament\.uk/documents/commons-committees/journal-office/sessional-dairies/[^/]+(\d{4})-(\d{2}),{1}-{2},Date
publications\.parliament\.uk/.+/c[^/]+/[^/]*(\d{1})(\d{2})(\d{2}),{3}-{2}-0{1},Date
publications\.parliament\.uk/.+/c[^/]+/[^/]*(\d{2})(\d{2})(\d{2}),{3}-{2}-{1},Date
"publications\.parliament\.uk/.+/privbill/(\d{2,4})(\d{2})/",{1}-{2} Session,Date
publications\.parliament\.uk/pa/bills/c?l?bill/(\d{4})-(\d{4})/,{1}-{2},Date
