rule,ruleName,type
(?<filter>parliament\.uk/documents/commons-governance-office),Commons Governance Office,NA
publications\.parliament\.uk/.+/cmhansrd,Commons Hansard,NA
parliament\.uk/business/publications/hansard/commons,Commons Hansard,NA
hansard\.parliament\.uk/search/MemberContributions.+house=Commons,Commons Hansard contributions,NA
(?<filter>hansard\.parliament\.uk/pdf/commons),Commons Hansard PDF,NA
publications\.parliament\.uk/.+/cmhansrd/.+/debtext,Commons Hansard transcript (Debating chambers),NA
publications\.parliament\.uk/.+/cmhansrd/.+/halltext,Commons Hansard transcript (Westminster Hall),NA
(?<filter>parliament\.uk/documents/commons-information-office),Commons Information Office document,NA
publications\.parliament\.uk/.+/cmjournal,Commons Journal,NA
parliament\.uk/documents/commons-commission/Commons-Management-Board,Commons Management Board,NA
(?<filter>parliament\.uk/mps-lords-and-offices/hocallowances),Commons Members' allowances,NA
(?<filter>parliament\.uk/documents/commons-public-bill-office),Commons Public Bill Office,NA
(?<filter>publications\.parliament\.uk/pa/cm(\d{4})(\d{2})),Commons publication from session: {1}-{2},NA
parliament\.uk/about/faqs/.+/.+/recess-dates,Commons Recess dates,NA
parliament\.uk/business/committees/committees-a-z/other-committees/reference-group-representation-inclusion,Commons Reference Group on Representation and Inclusion,NA
(?<filter>parliament\.uk/documents/commons-resources),Commons resource,NA
parliament\.uk/business/committees/committees-a-z/commons-select,Commons Select,NA
publications\.parliament\.uk/.+/cmselect,Commons Select Committee,NA
parliament\.uk/business/commons/the-speaker/speeches/speeches,Commons Speaker speech,NA
parliament\.uk/documents/commons-resources/Staff-handbook,Commons staff handbook,NA
publications\.parliament\.uk/pa/.+/cmstords,Commons Standing Orders,NA
(?<filter>parliament\.uk/documents/commons-table-office),Commons Table Office document,NA
(?<filter>parliament\.uk/documents/commons-vote-office),Commons Vote Office document,NA
parliament\.uk/business/publications/written-questions-answers-statements/written-statement/\w+/.+/HCWS([0-9]+)\/?,Commons Written Statement Id: {1},NA
parliament\.uk/mps-lords-and-offices/offices/bicameral/cpa-home,Commonwealth Parliament Association,NA
publications\.parliament\.uk/.+/ldcomuni,Communications Committee,NA
publications\.parliament\.uk/.+/ldcomm,Communications Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/communications-committee,Communications Committee,NA
parliament\.uk/documents/lords-committees/communications,Communications Committee,NA
archive\.scottish\.parliament\.uk/business/committees/communities,Communities,NA
publications\.parliament\.uk/.+/cmcomloc,Communities and Local Government Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/communities-and-local-government-committee,Communities and Local Government Committee,NA
parliament\.uk/documents/commons-committees/communities-and-local-government,Communities and Local Government Committee,NA
publications\.parliament\.uk/.+/ldcomp,Companion to the Standing Orders,NA
parliament\.uk/business/publications/house-of-lords-publications/rules-and-guides-for-business/companion-to-the-standing-orders,Companion to the Standing Orders,NA
parliament\.uk/documents/commons-public-bill-office/.+/compared-bills,Compared Bills,NA
parliament\.uk/mps-lords-and-offices/lords/composition-of-the-lords,Composition,NA
(?<filter>findyourmp\.parliament\.uk/constituencies),Constituencies,NA
parliament\.uk/about/how/elections-and-voting/constituencies,Constituencies,NA
publications\.parliament\.uk/.+/ldconst,Constitution Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/constitution-committee,Constitution Committee,NA
parliament\.uk/documents/lords-committees/constitution,Constitution Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/constitutional-affairs-committee-,Constitutional Affairs Committee,NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/constitutional-reform-bill,Constitutional Reform Bill,NA
parliament\.uk/get-involved/contact-an-mp-or-lord,Contact an MP or Lord,NA
parliament\.uk/site-information/contact-us,Contact Parliament,NA
parliament\.uk/business/committees/.+/contact-us,Contacts,NA
parliament\.uk/education/teacher-training-cpd-opportunities,Continuing Professional Development opportunities,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/joint-committee-on-conventions,Conventions on the relationship between the two Houses of Parliament,NA
archive\.scottish\.parliament\.uk/corporate/AnualReports/Corp_AnnualReports,Corporate Body,NA
parliament\.uk/mps-lords-and-offices/offices/commons/commonshro,Corporate Services,NA
parliament\.uk/business/committees/committees-a-z/other-committees/court-of-referees,Court of Referees,NA
parliament\.uk/get-involved/sign-a-petition,Create or sign a petititon,NA
parliament\.uk/business/committees/committees-a-z/former-committees/commons-select/crossrail-bill--,Crossrail Bill (Commons Former Committee),NA
parliament\.uk/business/committees/committees-a-z/former-committees/lords-select/crossrail-bill,Crossrail Bill (Lords Former Committee),NA
publications\.parliament\.uk/.+/cmcross,Crossrail Bill Committee,NA
parliament\.uk/about/living-heritage/building/cultural-collections,Cultural collections,NA
parliament\.uk/mps-lords-and-offices/mps/current-state-of-the-parties,Current state of the parties,NA
parliament\.uk/business/publications/written-questions-answers-statements/daily-reports,Daily reports,NA
(?<filter>blog\.data\.parliament\.uk),Data and Search blog,NA
parliament\.uk/site-information/data-protection,Data Protection,NA
data\.parliament\.uk/dataset,dataset,NA
parliament\.uk/business/publications/business-papers/lords/lords-divisions/\?dd=(\d{4})-(\d{2})-(\d{2})&division=(\d),{3}-{2}-{1},Date
(?<filter>hansard\.parliament\.uk/.+/(\d{4})-(\d{2})-(\d{2})),{3}-{2}-{1},Date
hansard\.parliament\.uk/.+/\d{4}-\d{2}-\d{2}/debates/,Debate,NA
parliament\.uk/business/committees/committees-a-z/commons-select/defence-committee,Defence Committee,NA
parliament\.uk/documents/commons-committees/defence,Defence Committee,NA
parliament\.uk/business/committees/committees-a-z/commons-select/defence-committee/defencesubcommittee,Defence Sub-Committee,NA
publications\.parliament\.uk/.+/cmdfence,Defense Committee,NA
publications\.parliament\.uk/.+/cmgeneral/deleg1,Delegated Legislation Committee,NA
parliament\.uk/business/publications/hansard/commons/gc-debates/delegated-legislation-committee,Delegated Legislation Committee,NA
parliament\.uk/business/committees/committees-a-z/lords-select/delegated-powers-and-regulatory-reform-committee,Delegated Powers and Regulatory Reform Commitee,NA
publications\.parliament\.uk/.+/lddelreg,Delegated Powers and Regulatory Reform Committee,NA
(?<filter>parliament\.uk/documents/DPRR),Delegated Powers and Regulatory Reform Committee,NA
parliament\.uk/documents/lords-committees/delegated-powers,Delegated Powers and Regulatory Reform Committee,NA
parliament\.uk/documents/commons-public-bill-office/.+/delegated-powers-memoranda,Delegated Powers Memoranda,NA
parliament\.uk/mps-lords-and-offices/offices/delegations,Delegation to interparliamentary assemblies,NA
data\.parliament\.uk/DepositedPapers,deposited papers,NA
parliament\.uk/business/publications/business-papers/commons/deposited-papers,deposited papers,NA
filter/rule,description,NA
parliament\.uk/business/committees/committees-a-z/lords-select/digital-skills-committee,Digital Skills Committee,NA
publications\.parliament\.uk/.+/cmcumeds,"Digital, Culture, Media and Sport Committee",NA
parliament\.uk/business/committees/committees-a-z/commons-select/digital-culture-media-and-sport-committee,"Digital, Culture, Media and Sport Committee",NA
parliament\.uk/documents/commons-committees/culture-media-and-sport,"Digital, Culture, Media and Sport Committee",NA
parliament\.uk/business/committees/.+/diversity-(\d{2})-(\d{2}),{1}-{2},Date
hansard\.parliament\.uk/.+/\d{4}-\d{2}-\d{2}/division/,Division,NA
parliament\.uk/business/publications/business-papers/lords/lords-divisions,Division results,NA
parliament\.uk/business/publications/business-papers/lords/lords-divisions/[^&]+&division=(\d),{1},Date
lordsbusiness\.parliament\.uk/Documents,Document download,NA
parliament\.uk/documents/commons-public-bill-office/([0-9-]*)/.+,{1} Session,Date
lordsbusiness\.parliament\.uk/Documents/Download\?documentId=(\d+),Document Id: {1},NA
researchbriefings\.files\.parliament\.uk/documents/(.+)/\1\.pdf,Document reference number: {1},NA
(?<filter>lordspublications.parliament\.uk),Downloading and Ordering Lords Publications,NA
parliament\.uk/business/bills-and-legislation/draft-bills/,Draft bills,NA
parliament\.uk/business/committees/committees-a-z/joint-select/draft-care-and-support-bill,Draft Care and Support Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-charities-bill,Draft Charities Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-children-contact--adoption-bill,Draft Children (Contact) & Adoption Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-civil-contingencies-bill,Draft Civil Contingencies Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-climate-change-bill,Draft Climate Change Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-communications-bill,Draft Communications Bill,NA
parliament\.uk/business/committees/committees-a-z/joint-select/draft-communications-bill,Draft Communications Data Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-constitutional-renewal-bill,Draft Constitutional Renewal Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-corruption-bill-,Draft Corruption Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-defamation-bill1,Draft Defamation Bill,NA
parliament\.uk/business/committees/committees-a-z/joint-select/draft-deregulation-bill,Draft Deregulation Bill,NA
parliament\.uk/documents/joint-committees/draft-deregulation-bill,Draft Deregulation Bill,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/joint-committee-on-the-draft-detention-of-terrorist-suspects-temporary-extension-bills,Draft Detention of Terrorist Suspects (Temporary Extension) Bills,NA
parliament\.uk/business/committees/committees-a-z/former-committees/joint-select/draft-disability-discrimination-bill,Draft Disability Discrimination Bill,NA
